City,Country,Lat,Lng,Humidity,Hotel Name
ebon,MH,4.582,168.6964,74,No hotel found
val-d'or,CA,48.1002,-77.7828,53,Quality Inn & Suites
wailua homesteads,US,22.0669,-159.378,75,Hilton Garden Inn Kauai Wailua Bay
georgetown,MY,5.4112,100.3354,78,Page 63 hostel
red wing,US,44.5625,-92.5338,58,The Saint James Hotel
albany,US,42.6001,-73.9662,52,No hotel found
ketchikan,US,55.3422,-131.6461,52,Cape Fox Lodge
yaren,NR,-0.5472,166.916,78,Aiwo Hotel
la'ie,US,21.6477,-157.9253,74,No hotel found
puerto lempira,HN,15.2667,-83.7667,78,Hotel Yu Baiwan
yellowknife,CA,62.456,-114.3525,53,No hotel found
sabang,ID,5.8933,95.3214,71,Sabang Hill
minna,NG,9.6139,6.5569,78,Haske Main Hotel
kill devil hills,US,36.0307,-75.676,64,Mariner Days Inn & Suites
guelmim,MA,28.987,-10.0574,60,فندق الملتقى
colonia,DE,50.9333,6.95,62,Wasserturm Hotel Cologne
tofol,FM,5.3248,163.0078,76,Nautilus Resort
callao,PE,-12.0667,-77.15,77,Casa Ronald
bel ombre,SC,-4.6167,55.4167,78,Villa La Cachette
pariaman,ID,-0.619,100.12,78,HOTEL NAN TONGGA
sokoni,TZ,-6.4333,39.55,71,No hotel found
san marcos de colon,HN,13.4333,-86.8,68,Hotel
eyl,SO,7.9803,49.8164,76,فندق ايل دابي
moa,CU,20.6569,-74.9403,69,Hotel Miraflores
jabat,MH,7.75,168.9751,80,No hotel found
la passe,FR,45.5549,-0.8967,74,L'Estuaire
lata,PT,40.1629,-8.3327,63,Residencial Botânico
villa pigna,IT,42.8324,13.6335,68,Hotel Villa Pigna
broome,US,42.2506,-75.833,58,No hotel found
taulaga,AS,-11.0553,-171.0883,79,No hotel found
afaahiti,PF,-17.75,-149.2833,76,Omati Lodge
guarapari,BR,-20.6667,-40.4975,65,Osmar Hotel
tolanaro,MG,-25.0319,46.9987,73,Hôtel Mahavokey
town and country,US,38.6123,-90.4634,68,Courtyard St. Louis West County
kapuskasing,CA,49.4169,-82.4331,73,Travelodge
avarua,CK,-21.2078,-159.775,68,Paradise Inn
sechura,PE,-5.5569,-80.8222,58,Maximus Inn
touros,BR,-5.1989,-35.4608,72,Pousada Atlântico
atafu village,TK,-8.5421,-172.5159,79,No hotel found
dakhla,EH,23.6848,-15.958,68,Hotel El Massira
shahba,SY,32.8551,36.629,56,No hotel found
kapa'a,US,22.0752,-159.319,74,Pono Kai Resort
constantia,RO,44.1833,28.65,56,Hotel Dali
kandyagash,KZ,49.4744,57.4233,56,No hotel found
playa blanca,ES,28.8643,-13.8281,75,H10 Lanzarote Princess
mitu,CO,1.1983,-70.1733,65,Hotel Brasilia Vaupés
basco,PH,20.4487,121.9702,76,Tawsen Hotel
hawaiian paradise park,US,19.5933,-154.9731,79,No hotel found
haiku-pauwela,US,20.9219,-156.3051,71,Inn At Mama's Fish House
papao,PF,-17.75,-149.55,77,Hiti Moana Villa Lodge
marsabit,KE,2.3284,37.9899,62,Chicho Hotel
enewetak,MH,11.3474,162.3373,74,No hotel found
port mathurin,MU,-19.6833,63.4167,77,Escale Vacances
vila velha,BR,-20.3297,-40.2925,75,Hotel Prainha
karachi,PK,24.9056,67.0822,74,Quetta Agha Hotel
vavuniya,LK,8.7514,80.4971,77,Vanniyan Hotel
bereznik,RU,62.8551,42.7072,72,Отель Прибрежный
centerville,US,39.6284,-84.1594,54,Holiday Inn Express & Suites
cole harbour,CA,44.6724,-63.4751,80,Hearthstone Inn Boutique Hotel Dartmouth/Halifax
hadibu,YE,12.65,54.0333,80,No hotel found
fale old settlement,TK,-9.3852,-171.2468,79,No hotel found
santa eularia des riu,ES,38.9846,1.5341,79,Hostal Sa Rota
guerrero negro,MX,27.9769,-114.0611,66,Plaza sal paraiso
san fernando de apure,VE,7.8878,-67.4724,66,Hotel Plaza
altamira,BR,-3.2033,-52.2064,62,Hotel Vale do Xingu
antsiranana,MG,-12.2787,49.2917,71,Central
hithadhoo,MV,-0.6,73.0833,71,Pebbles Inn
sinabang,ID,2.4803,96.3801,79,No hotel found
kalmunai,LK,7.4167,81.8167,78,Saji new food
uturoa,PF,-16.7333,-151.4333,80,Hawaiki Nui hotel
sal rei,CV,16.1833,-22.9167,78,Hotel Marine Club
mbandaka,CD,0.0487,18.2603,71,Hôtel Epervier
mtambile,TZ,-5.3833,39.7,73,SMZ Hoteli Ya Mkoani
paragominas,BR,-2.9667,-47.4833,54,No hotel found
banda aceh,ID,5.5577,95.3222,77,Hotel 61
la sarre,CA,48.8002,-79.1996,59,Motel le Bivouac
talara,PE,-4.5772,-81.2719,54,Hospedaje El Aypate
mata-utu,WF,-13.2816,-176.1745,80,Gîte Oceania
glace bay,CA,46.1969,-59.957,69,No hotel found
utrik,MH,11.2278,169.8474,79,No hotel found
ilha de mocambique,MZ,-15.0342,40.7358,62,Ruby Backpackers
padang,ID,-0.9492,100.3543,73,losmen Surya
tambura,SS,5.6,27.4667,69,No hotel found
tucuma,BR,-0.1833,-50.05,80,No hotel found
minbu,MM,20.1833,94.8833,77,Rolex Guesthouse
lihue,US,21.9789,-159.3672,75,Kauai Palms
sitia,GR,35.2,26.0986,64,Itanos Hotel
acarau,BR,-2.8856,-40.12,62,No hotel found
hunkuyi,NG,11.2668,7.6512,68,No hotel found
birao,CF,10.2849,22.7882,54,No hotel found
colonel hill,BS,22.7667,-74.2167,77,No hotel found
koungheul,SN,13.9833,-14.8,58,Auberge Keur Ghan
mana,GF,5.6592,-53.7767,77,Le Samana
bellavista,PE,-7.0561,-76.5911,62,No hotel found
leava,WF,-14.3,-178.1667,78,Fia fia
udaipur,IN,24.5712,73.6918,62,Pannadhay Palace
ishigaki,JP,24.3448,124.1572,78,アートホテル石垣島
acapulco de juarez,MX,16.8634,-99.8901,67,Hotel del Valle
anna regina,GY,7.2644,-58.5077,68,Jaigobin Hotel
fatehpur,IN,25.9333,80.8,66,No hotel found
watford city,US,47.8022,-103.2832,50,Mainstay Suites
san antonio de pale,GQ,-1.4014,5.6325,76,No hotel found
nuku'alofa,TO,-21.1333,-175.2,68,City Hotel
mancora,PE,-4.1078,-81.0475,67,Hospedaje La Palmera
san luis de la loma,MX,17.2706,-100.8939,66,No hotel found
nova vicosa,BR,-17.8919,-39.3719,68,Pousada Pontal da Barra
santana,BR,-0.0583,-51.1817,58,Hotel Teodoro
acajutla,SV,13.5928,-89.8275,76,Hotel Lara
rosarito,MX,32.3333,-117.0333,73,WorldMark La Paloma
diu,IN,20.7141,70.9822,80,Hotel Ankur
ugoofaaru,MV,5.6667,73.0,77,No hotel found
shengli,CN,37.4564,118.4856,71,大明大厦酒店
suez,EG,29.9737,32.5263,57,فندق لوسيندا
alofi,NU,-19.0595,-169.9187,68,Matavai Resort
antonio enes,MZ,-16.2325,39.9086,64,Hotel Quirimbas
grandview,US,38.8858,-94.533,59,Holiday Inn Express & Suites Kansas City-Grandview
neon karlovasion,GR,37.7903,26.7044,61,Ξενοδοχείο Αιγαίον
bellegarde,FR,43.7533,4.5165,57,Domaine des Clos
ciudad lazaro cardenas,MX,17.9583,-102.2,65,Hotel Sol del Pacífico
dong ha,VN,16.8163,107.1003,79,Mekong Palace
