City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aral,40.5156,81.2636,77.92,41,1,19.42,CN,1720464836
1,puerto natales,-51.7236,-72.4875,41.45,75,20,5.75,CL,1720464538
2,grytviken,-54.2811,-36.5092,29.12,74,7,10.45,GS,1720464839
3,adamstown,-25.066,-130.1015,67.66,64,100,19.55,PN,1720464675
4,la punta,-33.1837,-66.3127,50.5,28,0,10.16,AR,1720464842
5,puerto ayora,-0.7393,-90.3518,76.96,95,96,5.01,EC,1720464706
6,chonchi,-42.6128,-73.8092,48.11,77,99,5.1,CL,1720464669
7,sierra grande,-41.606,-65.3557,42.26,52,100,2.8,AR,1720464846
8,ebon,4.582,168.6964,83.39,74,41,10.6,MH,1720464848
9,val-d'or,48.1002,-77.7828,78.89,53,75,8.05,CA,1720464849
10,talnakh,69.4865,88.3972,54.48,77,15,11.23,RU,1720464697
11,craig,40.5153,-107.5464,76.95,22,0,5.75,US,1720464852
12,jamestown,42.097,-79.2353,86.52,45,0,9.22,US,1720464650
13,wailua homesteads,22.0669,-159.378,76.75,75,100,16.11,US,1720464526
14,zheleznogorsk,52.331,35.3711,70.5,90,18,7.25,RU,1720464859
15,port-aux-francais,-49.35,70.2167,35.91,86,11,33.06,TF,1720464568
16,iqaluit,63.7506,-68.5145,42.53,86,100,4.61,CA,1720464621
17,springbok,-29.6643,17.8865,38.17,85,5,3.36,ZA,1720464863
18,tiksi,71.6872,128.8694,47.84,64,0,3.71,RU,1720464537
19,metlili chaamba,32.2667,3.6333,108.54,10,5,14.97,DZ,1720464866
20,plainview,40.7765,-73.4673,91.26,72,6,7.0,US,1720464867
21,zhezqazghan,47.7833,67.7667,69.24,65,4,8.16,KZ,1720464869
22,rio grande,-32.035,-52.0986,50.11,54,3,13.22,BR,1720464870
23,blackmans bay,-43.0167,147.3167,46.72,92,100,1.99,AU,1720464519
24,margaret river,-33.95,115.0667,63.23,73,30,22.24,AU,1720464555
25,queensbury,53.7667,-1.9167,65.17,64,62,5.23,GB,1720464874
26,iranshahr,27.2025,60.6848,102.54,29,0,9.22,IR,1720464875
27,georgetown,5.4112,100.3354,80.55,78,20,2.3,MY,1720464760
28,red wing,44.5625,-92.5338,80.78,58,2,4.0,US,1720464877
29,albany,42.6001,-73.9662,89.92,52,77,4.5,US,1720464601
30,mirny,62.5353,113.9611,63.72,58,100,9.19,RU,1720464880
31,ketchikan,55.3422,-131.6461,70.27,52,0,9.22,US,1720464881
32,waitangi,-43.9535,-176.5597,46.81,82,100,4.0,NZ,1720464681
33,retreat,38.8245,-85.8533,91.31,50,100,1.99,US,1720464884
34,katsuura,35.1333,140.3,75.7,95,100,15.19,JP,1720464551
35,ancud,-41.8697,-73.8203,47.53,65,72,7.7,CL,1720464707
36,punta arenas,-53.15,-70.9167,37.51,75,0,13.8,CL,1720464556
37,alotau,-10.3069,150.4462,73.17,96,100,3.69,PG,1720464890
38,velikiy ustyug,60.7644,46.3106,64.98,76,0,4.34,RU,1720464892
39,saipan,15.1355,145.701,81.3,83,0,9.22,MP,1720464626
40,port elizabeth,-33.918,25.5701,50.31,74,40,28.77,ZA,1720464640
41,yaren,-0.5472,166.916,82.67,78,100,7.0,NR,1720464896
42,edinburgh of the seven seas,-37.0676,-12.3116,53.28,60,97,20.83,SH,1720464528
43,invercargill,-46.4,168.35,36.01,95,100,3.0,NZ,1720464517
44,bilibino,68.0546,166.4372,43.68,66,4,2.06,RU,1720464901
45,sao vicente,-23.9631,-46.3919,68.27,70,100,5.01,BR,1720464903
46,college,64.8569,-147.8028,58.95,77,75,4.61,US,1720464904
47,olonkinbyen,70.9221,-8.7187,35.6,87,100,13.53,SJ,1720464905
48,la'ie,21.6477,-157.9253,80.56,74,68,7.0,US,1720464906
49,puerto lempira,15.2667,-83.7667,80.74,78,75,0.0,HN,1720464907
50,yellowknife,62.456,-114.3525,72.41,53,40,5.75,CA,1720464909
51,sabang,5.8933,95.3214,84.94,71,100,9.62,ID,1720464910
52,minna,9.6139,6.5569,80.31,78,20,6.91,NG,1720464912
53,whitehorse,60.7161,-135.0538,70.11,42,75,5.75,CA,1720464438
54,karratha,-20.7377,116.8463,67.5,61,0,6.26,AU,1720464915
55,papatowai,-46.5619,169.4708,41.72,91,56,4.81,NZ,1720464687
56,longyearbyen,78.2186,15.6401,42.64,70,75,16.11,SJ,1720464397
57,kill devil hills,36.0307,-75.676,89.6,64,0,8.05,US,1720464920
58,cacoal,-11.4386,-61.4472,95.74,28,53,2.84,BR,1720464922
59,sisimiut,66.9395,-53.6735,39.81,97,100,5.55,GL,1720464923
60,guelmim,28.987,-10.0574,71.94,60,20,23.02,MA,1720464924
61,qaqortoq,60.7167,-46.0333,39.69,99,100,2.46,GL,1720464523
62,vilyuchinsk,52.9306,158.4028,53.87,93,100,2.33,RU,1720464658
63,colonia,50.9333,6.95,71.26,62,0,4.61,DE,1720464708
64,mount gambier,-37.8333,140.7667,49.95,98,68,3.62,AU,1720464641
65,carnarvon,-24.8667,113.6333,69.78,89,82,5.28,AU,1720464580
66,tofol,5.3248,163.0078,83.37,76,98,16.28,FM,1720464934
67,thompson,55.7435,-97.8558,77.16,38,75,9.22,CA,1720464935
68,fort mcmurray,56.7268,-111.381,81.91,47,0,4.61,CA,1720464936
69,dudinka,69.4058,86.1778,55.24,75,100,13.78,RU,1720464584
70,tralee,52.2704,-9.7026,61.05,82,75,12.66,IE,1720464939
71,barras,-4.2444,-42.2944,96.4,30,70,2.55,BR,1720464941
72,cangucu,-31.395,-52.6756,45.61,55,6,8.3,BR,1720464943
73,callao,-12.0667,-77.15,73.72,77,100,11.5,PE,1720464944
74,paris,48.8534,2.3488,75.97,46,0,5.75,FR,1720464330
75,grand falls-windsor,48.9332,-55.6649,89.51,36,63,1.99,CA,1720464947
76,ust-nera,64.5667,143.2,55.49,66,0,5.41,RU,1720464743
77,bel ombre,-4.6167,55.4167,80.44,78,20,19.57,SC,1720464950
78,new norfolk,-42.7826,147.0587,47.91,88,100,2.57,AU,1720464804
79,geraldton,-28.7667,114.6,63.01,82,20,16.11,AU,1720464953
80,san ignacio,17.1561,-89.0714,91.54,66,75,9.22,BZ,1720464954
81,badger,64.8,-147.5333,58.87,69,75,4.61,US,1720464812
82,oranjemund,-28.55,16.4333,54.27,62,0,7.99,NA,1720464957
83,horta,38.5333,-28.6333,75.02,92,75,23.02,PT,1720464564
84,gisborne,-38.6533,178.0042,45.36,85,8,5.55,NZ,1720464773
85,tura,25.5198,90.2201,75.2,98,69,6.82,IN,1720464671
86,pariaman,-0.619,100.12,75.25,78,91,3.71,ID,1720464962
87,ruteng,-8.6136,120.4721,61.03,96,100,3.42,ID,1720464965
88,ushuaia,-54.8,-68.3,38.82,70,20,14.97,AR,1720464762
89,palu,-0.8917,119.8707,75.94,98,100,2.82,ID,1720464967
90,bowen,-20.0167,148.2333,63.23,91,0,6.6,AU,1720464969
91,sokoni,-6.4333,39.55,78.21,71,0,14.99,TZ,1720464970
92,smithers,54.7804,-127.1743,75.52,31,0,3.44,CA,1720464972
93,san marcos de colon,13.4333,-86.8,82.13,68,78,6.44,HN,1720464973
94,port lincoln,-34.7333,135.8667,53.47,89,6,4.52,AU,1720464549
95,tromso,69.6496,18.957,51.82,71,75,9.22,NO,1720464976
96,eyl,7.9803,49.8164,79.05,76,4,26.49,SO,1720464978
97,ntcheu,-14.8203,34.6359,60.08,39,52,2.24,MW,1720464981
98,moa,20.6569,-74.9403,86.4,69,100,13.33,CU,1720464983
99,jabat,7.75,168.9751,82.45,80,50,13.31,MH,1720464984
100,vrangel',42.7297,133.0839,63.36,96,63,5.82,RU,1720464986
101,carutapera,-1.195,-46.02,80.19,89,11,4.94,BR,1720464988
102,lebu,-37.6167,-73.65,47.64,75,0,22.44,CL,1720464636
103,la passe,45.5549,-0.8967,84.43,74,5,4.7,FR,1720464803
104,lagoa,39.05,-27.9833,72.39,91,25,27.49,PT,1720464994
105,lata,40.1629,-8.3327,70.92,63,93,5.01,PT,1720464996
106,nyurba,63.2842,118.3319,64.38,59,100,6.31,RU,1720464997
107,villa pigna,42.8324,13.6335,80.94,68,2,2.37,IT,1720464998
108,barguzin,53.6167,109.6167,67.91,74,18,2.08,RU,1720465000
109,broome,42.2506,-75.833,88.43,58,75,5.75,US,1720465002
110,taulaga,-11.0553,-171.0883,82.6,79,99,21.9,AS,1720465003
111,afaahiti,-17.75,-149.2833,78.67,76,71,16.4,PF,1720464684
112,daru,-9.0763,143.2092,76.28,87,100,17.38,PG,1720465006
113,kodiak,57.79,-152.4072,49.51,93,100,4.61,US,1720464461
114,calipatria,33.1256,-115.5142,104.85,34,0,3.29,US,1720465009
115,vicente guerrero,19.1194,-98.1708,74.44,34,73,0.4,MX,1720465011
116,yanam,16.7333,82.2167,80.19,89,58,2.53,IN,1720464619
